epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,563.747,1.25081,0.80064,1.01105,0.43762,0.24946,0.28272,0.1038,2.58334,2.3227,1.61345,0.008318,0.008318,0.008318
61,572.948,1.2464,0.7921,1.00834,0.37268,0.262,0.28304,0.1119,2.55559,2.23139,1.59545,0.00812,0.00812,0.00812
62,581.673,1.20015,0.77056,0.99817,0.40146,0.27711,0.28087,0.10493,2.62058,2.09001,1.65366,0.007922,0.007922,0.007922
63,591.646,1.22235,0.77169,0.99726,0.32462,0.28389,0.27075,0.10488,2.63574,2.11091,1.60291,0.007724,0.007724,0.007724
64,599.326,1.19903,0.76881,0.99418,0.39638,0.26515,0.26734,0.09642,2.63864,2.23925,1.61957,0.007526,0.007526,0.007526
65,609.542,1.20167,0.77037,0.99386,0.43058,0.28248,0.28822,0.11622,2.51829,2.28184,1.5753,0.007328,0.007328,0.007328
66,617.18,1.2206,0.77633,0.99964,0.38532,0.26272,0.26606,0.09217,2.64335,2.422,1.58793,0.00713,0.00713,0.00713
67,627.426,1.19729,0.75305,0.99241,0.37416,0.29537,0.28276,0.1105,2.51377,2.16316,1.55069,0.006932,0.006932,0.006932
68,634.997,1.18543,0.75126,0.99326,0.30837,0.30488,0.27952,0.10541,2.58737,2.11392,1.64607,0.006734,0.006734,0.006734
69,645.794,1.17682,0.75023,0.98157,0.40426,0.31517,0.2816,0.11103,2.58169,2.27342,1.64412,0.006536,0.006536,0.006536
70,653.625,1.17157,0.74974,0.98972,0.37671,0.31808,0.30608,0.11273,2.48159,2.10629,1.53272,0.006338,0.006338,0.006338
71,663.174,1.15416,0.7351,0.98216,0.42799,0.25775,0.28656,0.11032,2.4797,2.21127,1.55204,0.00614,0.00614,0.00614
72,672.196,1.15264,0.7347,0.97877,0.38318,0.27173,0.28284,0.1006,2.52243,2.2958,1.54254,0.005942,0.005942,0.005942
73,681.056,1.15673,0.74497,0.98344,0.3704,0.2884,0.28519,0.10246,2.60678,2.29736,1.61314,0.005744,0.005744,0.005744
74,691.309,1.15698,0.74072,0.9835,0.37753,0.30301,0.27946,0.10446,2.59605,2.26923,1.60901,0.005546,0.005546,0.005546
75,699.214,1.14679,0.72862,0.97633,0.38947,0.28377,0.27512,0.0994,2.62295,2.28385,1.59954,0.005348,0.005348,0.005348
76,709.48,1.138,0.73284,0.9779,0.33663,0.28878,0.2676,0.09688,2.64243,2.1895,1.60314,0.00515,0.00515,0.00515
77,717.211,1.10993,0.70788,0.97345,0.40884,0.31439,0.30542,0.11027,2.57002,2.22816,1.59941,0.004952,0.004952,0.004952
78,727.949,1.12918,0.7109,0.97035,0.37749,0.27787,0.28567,0.1089,2.49017,2.18557,1.57775,0.004754,0.004754,0.004754
79,736.003,1.11807,0.70607,0.96915,0.33034,0.3077,0.2729,0.10087,2.59513,2.27283,1.64106,0.004556,0.004556,0.004556
80,746.79,1.10055,0.70207,0.96778,0.39015,0.26731,0.28385,0.10777,2.56717,2.13772,1.61673,0.004358,0.004358,0.004358
81,759.797,1.1115,0.71101,0.96679,0.42856,0.2713,0.28862,0.11201,2.53522,2.40797,1.60051,0.00416,0.00416,0.00416
82,767.548,1.09264,0.69339,0.96356,0.38869,0.25767,0.2754,0.1116,2.52426,2.3173,1.58349,0.003962,0.003962,0.003962
83,778.353,1.07736,0.69064,0.9582,0.43775,0.25792,0.27955,0.10654,2.49802,2.46282,1.54423,0.003764,0.003764,0.003764
84,785.991,1.06547,0.68106,0.95262,0.38155,0.27314,0.28391,0.09859,2.52343,2.3425,1.60788,0.003566,0.003566,0.003566
85,796.515,1.09177,0.69955,0.96608,0.32801,0.2898,0.26995,0.10661,2.4794,2.28101,1.59865,0.003368,0.003368,0.003368
86,804.384,1.07126,0.68837,0.95678,0.43413,0.26336,0.28694,0.10705,2.53589,2.37607,1.60658,0.00317,0.00317,0.00317
87,814.863,1.07301,0.68798,0.96382,0.36976,0.28077,0.27655,0.10304,2.55209,2.34022,1.5877,0.002972,0.002972,0.002972
88,823.378,1.06674,0.67932,0.95658,0.34329,0.31704,0.28993,0.11354,2.44216,2.35271,1.54099,0.002774,0.002774,0.002774
89,832.509,1.04588,0.67325,0.95776,0.34711,0.29366,0.28182,0.10768,2.50356,2.17092,1.56155,0.002576,0.002576,0.002576
90,842.337,1.04929,0.67301,0.95552,0.34574,0.28153,0.27669,0.10853,2.54507,2.27196,1.59736,0.002378,0.002378,0.002378
91,851.235,1.64775,1.19901,1.14556,0.32169,0.2518,0.24333,0.08731,2.61109,2.57971,1.61065,0.00218,0.00218,0.00218
92,861.536,1.59788,1.07855,1.10595,0.35524,0.27148,0.26123,0.09711,2.6011,2.37738,1.63815,0.001982,0.001982,0.001982
93,868.896,1.57167,1.05754,1.09192,0.33605,0.28777,0.27251,0.10724,2.53666,2.28147,1.60529,0.001784,0.001784,0.001784
94,878.751,1.57254,1.03314,1.09539,0.31877,0.28576,0.26889,0.10884,2.49326,2.2757,1.58094,0.001586,0.001586,0.001586
95,886.122,1.54702,1.03662,1.08717,0.3689,0.28247,0.2755,0.10205,2.56048,2.27444,1.60386,0.001388,0.001388,0.001388
96,896.737,1.54103,1.00496,1.07615,0.34092,0.29596,0.2786,0.11019,2.52766,2.22031,1.58633,0.00119,0.00119,0.00119
97,904.251,1.51804,0.99043,1.06676,0.36735,0.30497,0.27971,0.10954,2.51608,2.21514,1.59046,0.000992,0.000992,0.000992
98,914.605,1.53368,1.00231,1.07668,0.35412,0.29056,0.27238,0.10917,2.49416,2.24063,1.57904,0.000794,0.000794,0.000794
99,922.339,1.49736,0.97295,1.06517,0.38173,0.30046,0.27761,0.10647,2.52724,2.26903,1.60575,0.000596,0.000596,0.000596
100,931.654,1.49627,0.97016,1.06157,0.36321,0.29375,0.27527,0.10979,2.49573,2.23867,1.57431,0.000398,0.000398,0.000398
