epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1386.52,1.33818,0.91723,1.13786,0.39243,0.34963,0.34025,0.15866,1.86949,1.39579,1.4166,0.000676802,0.000676802,0.000676802
62,1408.88,1.33708,0.9236,1.14048,0.34735,0.34806,0.30316,0.12977,1.99895,1.52893,1.46957,0.000660299,0.000660299,0.000660299
63,1430.83,1.31095,0.90068,1.12293,0.33687,0.36604,0.31907,0.14491,1.90999,1.47344,1.42689,0.000643795,0.000643795,0.000643795
64,1452.6,1.32048,0.89465,1.13017,0.40123,0.36557,0.33362,0.14834,1.91538,1.46502,1.45271,0.000627292,0.000627292,0.000627292
65,1476.26,1.32055,0.88656,1.12886,0.40198,0.31776,0.32503,0.14782,1.90747,1.47724,1.44622,0.000610789,0.000610789,0.000610789
66,1498.23,1.31695,0.89426,1.12662,0.39031,0.34534,0.3252,0.14333,1.92876,1.45831,1.4433,0.000594286,0.000594286,0.000594286
67,1519.92,1.30955,0.87979,1.12342,0.3577,0.32146,0.30587,0.14037,1.91283,1.47976,1.44468,0.000577782,0.000577782,0.000577782
68,1541.86,1.28349,0.87617,1.11566,0.36296,0.34649,0.31952,0.13955,1.99302,1.53843,1.48506,0.000561279,0.000561279,0.000561279
69,1565.4,1.28682,0.87228,1.11455,0.40777,0.30386,0.30866,0.14122,1.91156,1.52066,1.44943,0.000544776,0.000544776,0.000544776
70,1587.3,1.2485,0.82851,1.09586,0.40457,0.3583,0.32543,0.14409,1.89842,1.47448,1.43373,0.000528272,0.000528272,0.000528272
71,1609.29,1.23936,0.82283,1.09229,0.38316,0.3084,0.30243,0.1405,1.91918,1.47705,1.44545,0.000511769,0.000511769,0.000511769
72,1632.04,1.26463,0.83557,1.09476,0.42096,0.31058,0.32089,0.14687,1.90072,1.47895,1.45254,0.000495266,0.000495266,0.000495266
73,1655.74,1.26175,0.82591,1.09818,0.38882,0.31406,0.30352,0.1339,1.98388,1.55566,1.48815,0.000478762,0.000478762,0.000478762
74,1680.44,1.24049,0.81543,1.08865,0.38748,0.33948,0.31152,0.14014,1.93659,1.52957,1.47104,0.000462259,0.000462259,0.000462259
75,1703.86,1.2159,0.80391,1.08437,0.36759,0.35992,0.3276,0.15021,1.90378,1.52762,1.4394,0.000445756,0.000445756,0.000445756
76,1727.81,1.23769,0.8074,1.08653,0.3865,0.32044,0.32481,0.14478,1.93359,1.56523,1.46332,0.000429253,0.000429253,0.000429253
77,1749.63,1.22584,0.79785,1.07516,0.40098,0.33704,0.31065,0.14191,1.921,1.54805,1.45702,0.000412749,0.000412749,0.000412749
78,1771.79,1.20857,0.78099,1.06596,0.38058,0.31406,0.30402,0.13632,1.95121,1.61209,1.48009,0.000396246,0.000396246,0.000396246
79,1794.97,1.21129,0.79521,1.08101,0.35938,0.33195,0.3065,0.14102,1.92124,1.57823,1.46141,0.000379743,0.000379743,0.000379743
80,1817.81,1.20086,0.77632,1.07115,0.32437,0.36205,0.31511,0.13989,1.95699,1.5177,1.47562,0.000363239,0.000363239,0.000363239
81,1839.72,1.20041,0.77358,1.06816,0.38515,0.33646,0.31783,0.14872,1.86331,1.52879,1.43253,0.000346736,0.000346736,0.000346736
82,1861.14,1.18764,0.76302,1.0557,0.45137,0.3087,0.31779,0.14166,1.91745,1.60238,1.45198,0.000330233,0.000330233,0.000330233
83,1885.37,1.17968,0.76249,1.05789,0.40568,0.32751,0.31654,0.14245,1.8698,1.52529,1.43632,0.000313729,0.000313729,0.000313729
84,1907.68,1.16078,0.75459,1.05386,0.38282,0.30763,0.29512,0.13344,1.94914,1.61906,1.47823,0.000297226,0.000297226,0.000297226
85,1929.63,1.18787,0.76778,1.06855,0.42906,0.28317,0.30168,0.13914,1.90818,1.55084,1.45253,0.000280723,0.000280723,0.000280723
86,1951.74,1.16337,0.74058,1.04994,0.38698,0.33633,0.31984,0.14598,1.89363,1.53269,1.43962,0.00026422,0.00026422,0.00026422
87,1978.23,1.15488,0.74119,1.05153,0.41016,0.33701,0.30909,0.13966,1.90328,1.55706,1.44748,0.000247716,0.000247716,0.000247716
88,2000.03,1.14341,0.73948,1.04807,0.3978,0.29418,0.29656,0.13796,1.89833,1.62809,1.46028,0.000231213,0.000231213,0.000231213
89,2021.83,1.11184,0.7185,1.03166,0.37961,0.35094,0.31601,0.14274,1.88629,1.57463,1.44817,0.00021471,0.00021471,0.00021471
90,2044.51,1.1399,0.73425,1.04178,0.36787,0.36608,0.32591,0.14815,1.87245,1.54175,1.43536,0.000198206,0.000198206,0.000198206
91,2068.33,1.13174,0.71075,1.04368,0.36655,0.34989,0.30361,0.1444,1.86742,1.53861,1.4351,0.000181703,0.000181703,0.000181703
92,2089.34,1.11572,0.67458,1.0325,0.41244,0.30799,0.30566,0.14274,1.87364,1.59668,1.45646,0.0001652,0.0001652,0.0001652
93,2110.87,1.1011,0.66612,1.02883,0.36753,0.3344,0.30013,0.1378,1.90293,1.66154,1.46697,0.000148696,0.000148696,0.000148696
94,2133.39,1.08584,0.65176,1.0175,0.42598,0.31365,0.30903,0.14083,1.8828,1.60901,1.44849,0.000132193,0.000132193,0.000132193
95,2156.05,1.07699,0.64376,1.02279,0.40575,0.33129,0.30501,0.13934,1.88939,1.65458,1.45977,0.00011569,0.00011569,0.00011569
96,2177.54,1.09167,0.64985,1.02143,0.35058,0.35337,0.3036,0.14101,1.86439,1.62765,1.44576,9.91865e-05,9.91865e-05,9.91865e-05
97,2199.04,1.06079,0.63493,1.01757,0.37149,0.3311,0.30088,0.14038,1.87336,1.62822,1.4532,8.26832e-05,8.26832e-05,8.26832e-05
98,2220.37,1.04785,0.63756,1.00558,0.38598,0.31918,0.29699,0.13991,1.86732,1.6515,1.44476,6.61799e-05,6.61799e-05,6.61799e-05
99,2242.68,1.03929,0.62675,1.00618,0.43065,0.30331,0.3031,0.1399,1.88078,1.63955,1.45425,4.96766e-05,4.96766e-05,4.96766e-05
100,2265.86,1.06712,0.63631,1.02607,0.43098,0.30092,0.30819,0.14381,1.86944,1.62179,1.44827,3.31733e-05,3.31733e-05,3.31733e-05
